Environment,Username,Password,,,"Future Dated
(within 30days from today date)",,"Recurring
(start date must tmrw  from today date)
",,,,
https://172.31.11.35/cgi-bin/bvRSA2/m2u/common/login.do,Trinity_60,pass1234,,Yes or No * (Y/N),N,Yes or No * (Y/N),N,,,,
https://10.170.116.97/cgi-bin/bvdevUI2/m2u/common/login.do,webope_user321,Maybank@1,,Date,8,start-Date,28,,,,
https://172.31.11.35/cgi-bin/bvsit3/m2u/common/login.do,webope_user321,Maybank@1,,Month and Year,November 2022,start-Month and Year,December 2022,,,,
https://172.31.11.35/cgi-bin/bvRSA2/m2u/common/login.do,Trinity_60,pass1234,,,,end-Date,28,,,,
https://www.maybank2u.com.my/home/m2u/common/login.do,aliasyaf96,Haura-251258,,,,end-Date,January 2023,,,,
,,,,,,,,,,,
1-Own Transfer,,,,TAC,Your TAC No. is ([^.]*). DuitNow Future Transfer,TAC,Your TAC no. is ([^.]*). Recurring DuitNow Trsf to,,,,
-,Single,Multiple,,,,,,,,,
Casa1,156235276557,,,,,,,,,,
Casa2,,,,,,,,,,,
,,,,,,,,,,,
Casa Amount,2,1,,,,,,,,,
Reference,testing,testing,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2-DuitNow,,,,,,,,,,,
,Value,Amount,Reference,TAC message,Remarks/Additional,Nickname Fav,Value Fav,,,,
Mobile Number,01122334455,1,testing,Your TAC no. is ([^.]*). DuitNow Transfer to,,nickyyMN,0132512314,,,,
NRIC,550809065190,50,testing,Your TAC No. is ([^.]*). TRANSFER TO MAYBANK A/C,,nickyyIC,550809065190,,,,
Passport,GT6524677,10,testing,Your TAC No. is ([^.]*). TRANSFER TO MAYBANK A/C,AUSTRALIA,nickyyAP,GT6524677,,,,
Army/Police,RF789456,10,testing,Your TAC No. is ([^.]*). TRANSFER TO MAYBANK A/C,,nickyyBR,RF789456,,,,
Business Regist No,PP9988771F,10,testing,Your TAC No. is ([^.]*). TRANSFER TO MAYBANK A/C,,nickyyPP,PP9988771F,,,,
Favourites,,,,Your TAC No. is ([^.]*) for Add DuitNow Favourite,Add New Favourite,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3-Other Account,,,,,,,,,,,
3rd Party,,,,,,,,,,,
To Account Number,512361088207,,,,,,,,,,
